polygon,x,y
4,462881.45,5307251.95
4,462977.11,5307256.71
4,463085.01,5307223.35
4,463418.23,5307111.09
4,463502.09,5307050.37
4,463589.99,5306984.52
4,463793.26,5306796.95
5,463201.83,5306532.9
5,462916.49,5306530.22
5,462669.87,5306557.07
5,462520.88,5306600.97
5,462261.88,5306714.79
5,461965.39,5306815.84
5,461755.28,5306952.06
5,461245.21,5307258.53
5,460989.97,5307355.36
5,460907.92,5307403.45
5,460836.56,5307486.52
5,460714.36,5307725.18
5,460568.75,5307931.44
5,460714.44,5307725.35
5,460852.85,5307462.8
5,460908.14,5307403.74
5,460971.13,5307364.59
5,461245.44,5307258.76
5,461652.03,5307052.7
5,461981.01,5306838.88
5,462141.19,5306775.92
5,462321.06,5306692.46
5,462521.37,5306601.95
5,462670.21,5306557.74
5,462816.68,5306536.09
5,463216.62,5306562.58
5,463726.36,5306575.17
6,466253.85,5307894.62
6,466329.35,5308082.77
6,466405.82,5308194.78
6,466651.14,5308384.96
6,466677.93,5308417.46
6,467104.41,5308832.13
6,467236.99,5309061.67
6,467255.43,5309100.61
6,467288.96,5309204.6
6,467312.03,5309272.9
6,467338.24,5309355.84
6,467415.13,5309402.32
6,467545.85,5309470.05
6,467649.7,5309499.48
6,467756.69,5309615.13
6,467789.28,5309650.51
6,467840.76,5309705.67
6,467883.92,5309753.95
6,467919.32,5309796.59
6,468016.09,5309875.14
6,468034.87,5309906.11
6,468012.5,5309992.19
6,467755.58,5310341.11
6,467807.94,5310105.53
6,467932.17,5309900.73
6,467896.97,5309836.32
6,467859.62,5309775.4
6,467823.53,5309738.59
6,467733.65,5309622.42
6,467638.91,5309537.41
6,467513.2,5309497.8
6,467284.88,5309376.08
6,467260.99,5309285.55
6,467204.07,5309113.38
6,467151.84,5308978.09
6,467081.88,5308873.31
6,467019.39,5308791.79
6,466806.41,5308581.98
6,466644.57,5308393.25
6,466400.79,5308199.86
6,466327.87,5308083.93
6,466253.85,5307894.62
7,460936.53,5306532.03
7,460843.43,5306733.41
7,460752.14,5306855.26
7,460584.58,5307043.59
7,460419.79,5307368.45
7,460370.89,5307433.95
7,460241.21,5307554.64
7,459976.9,5307739.85
7,459837.84,5307860.06
7,459726.82,5307997.44
7,459691.48,5308059.32
7,459678.91,5308098.89
7,459892.03,5307905.78
7,460245.18,5307653.54
7,460399.24,5307504.63
7,460498.44,5307348.28
7,460641.64,5307039.46
7,460802.88,5306809.42
7,460936.53,5306532.03
8,469815.7,5309087.26
8,469517.71,5309164.06
8,469036.8,5309192.41
8,468797.82,5309265.38
8,468641.69,5309350.34
8,468531.89,5309440.45
8,468417.98,5309582.11
8,468298.41,5309801.4
8,468053.19,5310026.17
8,467770.47,5310337.22
8,468322.02,5309813.77
8,468446.16,5309562.68
8,468557.95,5309426.72
8,468677.79,5309331.84
8,468797.61,5309268.23
8,469037.76,5309196.72
8,469471.2,5309170.38
8,469667.35,5309133.92
8,470218.88,5309000.02
9,464882.17,5303716.79
9,464794.97,5303922.51
9,464687.37,5304070.16
9,464537.09,5304170.87
9,464228.71,5304299.68
9,464152.66,5304371.76
9,464135.56,5304464.63
9,464179.16,5304769.29
9,464151.94,5304918.55
9,464062.83,5305078.33
9,463810.59,5305360.87
9,464090.01,5305060.54
9,464134.59,5304961.64
9,464172.26,5304814.32
9,464174.23,5304718.68
9,464134.77,5304464.05
9,464152.2,5304371.49
9,464228.46,5304299.5
9,464536.89,5304170.67
9,464687.02,5304069.87
9,464794.62,5303922.26
9,464882.17,5303716.79
10,468308.58,5305773.85
10,467916.96,5306030.91
10,467584.48,5306301.66
10,467396.74,5306515.25
10,467159.42,5306944.67
10,467397.55,5306516.02
10,467589.4,5306306.49
10,467919.9,5306033.93
10,468550.18,5305656.46
11,463722.49,5301885.94
11,463582.4,5302095.59
11,463514.05,5302288.22
11,463508.2,5302437.61
11,463544.71,5302786.88
11,463523.35,5302939.51
11,463448.46,5303076.15
11,463296.75,5303297.58
11,462908.15,5303859.82
11,463302.52,5303264.47
11,463452.67,5303077.1
11,463527.6,5302940.36
11,463548.52,5302836.11
11,463518.73,5302439.93
11,463536.73,5302244.49
11,463625.38,5302038.15
11,463859.98,5301691.58
12,467525.79,5304808.43
12,467405.6,5305041.59
12,467333.48,5305122.59
12,467114.3,5305307.01
12,466944.54,5305596.09
12,466824.26,5305676.74
12,466509.59,5305811.91
12,466826.62,5305678.57
12,466946.81,5305597.84
12,467121.31,5305312.67
12,467339.82,5305127.84
12,467411.79,5305046.87
12,467615.79,5304654.92
13,469054.86,5306328.34
13,468820.5,5306488.68
13,468543.08,5306749.36
13,468268.43,5306926.21
13,467931.26,5307281.35
13,468247.2,5306956.63
13,468549.95,5306756.41
13,468827.32,5306495.68
13,469184.69,5306228.75
14,467705.44,5307786.48
14,467601.49,5308034.77
14,467438.53,5308308.79
14,467221.66,5308675.69
14,467112.34,5308845.35
14,467104.35,5308830.18
14,467211.81,5308659.47
14,467469.58,5308218.36
14,467598.32,5307977.74
14,467749.47,5307690.76
15,468591.82,5305864.7
15,468367.21,5306074.41
15,468072.65,5306411.38
15,467671.56,5306797.83
15,468053.92,5306441.66
15,468347.54,5306102.34
15,468723.65,5305769.1
16,469406.63,5306717.91
16,469097.03,5307127.34
16,469004.73,5307226.93
16,468856.06,5307319.92
16,468485.6,5307418.22
16,468818.58,5307343.71
16,468981.84,5307259.72
16,469126.28,5307105.16
16,469538.51,5306578.42
17,465661.3,5311228.94
17,465860.16,5311107.28
17,465931.99,5311071.31
17,466065.45,5311086.25
17,466228.54,5311223.74
17,466507.57,5311522.69
17,466504.02,5311466.4
17,466497.5,5311393.6
17,466372.23,5311265.78
17,466230.37,5311111.36
17,466122.82,5311014.01
17,466034.87,5310987.49
17,465940.27,5310983.92
17,465811.51,5311044.06
17,465629.07,5311149.66
17,465505.12,5311197.35
17,465362.25,5311207.98
17,465265.19,5311247.46
17,465066.04,5311365.09
17,464980.47,5311392.07
17,464846.62,5311358.05
17,464524.89,5311281.17
17,464838.85,5311415.15
17,464987.45,5311447.63
17,465100.56,5311448.95
17,465147.62,5311440.82
17,465182.11,5311423.6
17,465368.38,5311321.58
17,465661.3,5311228.94
18,467707.35,5305179.25
18,466960.57,5305882.19
18,467346.73,5305545.2
18,467905.12,5305011.92
19,467342.52,5310453
19,467320.5,5310469.86
19,467098.42,5310165.02
19,467066.25,5310031.95
19,467023.31,5309807.19
19,466967.41,5309678.2
19,467025.99,5309454.36
19,467023.87,5309271.53
19,466953.39,5309183.86
19,466868.36,5309089.75
19,466649.04,5308998.64
19,466312.12,5308752.12
19,466052.25,5308489.12
19,465892.88,5308287.98
19,465729.37,5308107.57
19,465658.63,5308019.87
19,465573.73,5307886.16
19,465744.61,5308082.44
19,465910.12,5308269.57
19,466078.14,5308485.01
19,466338.59,5308714.46
19,466664.13,5308979.23
19,466878.78,5309070.08
19,466971.08,5309159.09
19,467048.14,5309254.52
19,467050.29,5309429.4
19,466994.62,5309679.31
19,467052.96,5309808.7
19,467079.43,5309911.59
19,467087.14,5310026.51
19,467122.37,5310152.12
